epoch,accuracy_train,accuracy_test
1,0.3764314651489258,0.39217135310173035
2,0.4355374872684479,0.4364844858646393
3,0.4379386901855469,0.43057605624198914
4,0.4691540598869324,0.4593796133995056
5,0.48503878712654114,0.42023634910583496
6,0.49556705355644226,0.4549483060836792
7,0.50535649061203,0.4519940912723541
8,0.5234577059745789,0.45347118377685547
9,0.5253047943115234,0.4475627839565277
10,0.5434060096740723,0.46307238936424255
11,0.5596601366996765,0.45568686723709106
12,0.573143720626831,0.46602657437324524
13,0.5930919647216797,0.4615952670574188
14,0.6060214042663574,0.46381092071533203
15,0.6028814315795898,0.45347118377685547
16,0.6265238523483276,0.4497784376144409
17,0.6340968012809753,0.47488921880722046
