epoch,accuracy_train,accuracy_test
1,0.3269301950931549,0.3345642685890198
2,0.3363502025604248,0.3323485851287842
3,0.3274843096733093,0.3323485851287842
4,0.33949020504951477,0.37370753288269043
5,0.35352790355682373,0.3751846253871918
6,0.4002586007118225,0.38774001598358154
7,0.4054303765296936,0.40398818254470825
8,0.4096786081790924,0.40177252888679504
9,0.4305504262447357,0.4002954065799713
10,0.4299963116645813,0.3936484456062317
11,0.43627631664276123,0.42983752489089966
12,0.4582563638687134,0.4106351435184479
13,0.4621351957321167,0.4194977879524231
14,0.4748799502849579,0.42540621757507324
15,0.4826376140117645,0.43500739336013794
16,0.49741411209106445,0.41285082697868347
17,0.5051717758178711,0.4268833100795746
18,0.5173624157905579,0.40177252888679504
19,0.5291836261749268,0.416543573141098
